date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:05:06	117/117	---MCZ	200	added ('OK')	text/plain	date:Mon,%2027%20Jun%202016%2021:05:06%20GMT	https://www.rodesk.com/robots.txt		(from )
14:05:06	22092/22092	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Jun%202016%2021:05:06%20GMT	https://www.rodesk.com/	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/index.html	(from )
14:05:07	0/0	---MC-	301	error ('Moved%20Permanently')	application/rss+xml	etag:%22fe8db4d06a7ef2281316388dfeea038d%22	https://www.rodesk.com/feed	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/feed	(from https://www.rodesk.com/)
14:05:07	54448/54448	---M--	200	added ('OK')	image/jpeg	etag:W/%22PSA-aj-AhBIV4zxBJ%22	https://www.rodesk.com/app/assets/rodesk.jpeg	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/app/assets/rodesk.jpg	(from https://www.rodesk.com/)
14:05:07	795/795	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Jun%202016%2021:05:07%20GMT	https://www.rodesk.com/feed/	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/feed/index.html	(from https://www.rodesk.com/)
14:05:08	69429/69429	---MCZ	200	added ('OK')	text/css	etag:W/%2257694b65-10f35%22	https://www.rodesk.com/assets/styles/style-94de7dceaf.css?ver=1.0	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/assets/styles/style-94de7dceaf5152.css	(from https://www.rodesk.com/)
14:05:08	9210/9210	---MCZ	200	added ('OK')	application/javascript	etag:W/%2257694b65-23fa%22	https://www.rodesk.com/assets/scripts/modernizr-custom.js	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/assets/scripts/modernizr-custom.js	(from https://www.rodesk.com/)
14:05:09	572/572	---M--	200	added ('OK')	image/png	etag:%2257694b62-23c%22	https://www.rodesk.com/assets//images/favicons/apple-touch-icon-57x57.png	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/assets/images/favicons/apple-touch-icon-57x57.png	(from https://www.rodesk.com/)
14:05:09	580/580	---M--	200	added ('OK')	image/png	etag:%2257694b62-244%22	https://www.rodesk.com/assets//images/favicons/apple-touch-icon-60x60.png	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/assets/images/favicons/apple-touch-icon-60x60.png	(from https://www.rodesk.com/)
14:05:09	633/633	---M--	200	added ('OK')	image/png	etag:%2257694b62-279%22	https://www.rodesk.com/assets//images/favicons/apple-touch-icon-72x72.png	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/assets/images/favicons/apple-touch-icon-72x72.png	(from https://www.rodesk.com/)
